"Timestamp","Escuela","Grado","Sección / Curso","Edad","Género","¿En qué lugar usás comúnmente la computadora?","¿Qué hacés cuando usás la computadora (podés elegir más de una opción)?","¿Dónde aprendiste a usar la computadora (podés elegir más de una opción) ?","¿Qué celular usás?","Si usás celular: ¿qué haces cuando usás el celular (podés elegir más de una opción)?","¿Dónde se almacenan los videos que están en YouTube?","¿Quién tiene acceso a las fotos que tengo guardadas en mi celular?","Cuando le mando a una amiga una foto por WhatsApp...","Si quiero hacer que mi amiga no pueda ver más la foto, ¿qué puedo hacer?","Sofi está en la calle sin Wi-Fi y le quiere mandar un mensaje de WhatsApp a Santi.  ¿Cuál de las cinco imágenes representa mejor la manera en la que el mensaje viaja?","Si me llega un mensaje por WhatsApp con un link para descargar una aplicación, ¿cuál de las siguientes opciones creés que es la correcta?","En informática, ¿qué es la nube?","De las siguientes afirmaciones sobre la nube, marcá la o las que creas correctas (podés elegir más de una opción):","Si cada círculo representa las cosas que podemos hacer con Internet y la nube, ¿cómo creés que se comportan?","¿Conocés o alguna vez usaste Wikipedia?","Si tengo que hacer un trabajo para la escuela y después de buscar en Wikipedia encuentro un artículo que habla del tema, ¿cuál de las siguientes opciones creés que es la correcta?"
"2022/11/24 8:34:36 AM GMT-3","Colegio Modelo Mármol","Sexto","C","11","Masculino","En la escuela","Juego juegos;Hago la tarea","Aprendí solo","El mío","Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Hablo por teléfono;Juego juegos","No sé","No sé","No sé","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","No sé","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","Se puede usar la nube para jugar juegos sin instalarlos;La nube me permite guardar las fotos y videos del celular;Sin la nube no sería posible hacer llamadas por celular;Instagram y TikTok usan la nube para compartir sus videos;Google Maps descarga sus mapas de la nube","Con la nube podemos hacer más cosas que con Internet.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/24 8:34:49 AM GMT-3","Colegio Modelo Mármol","Sexto","C","11","Masculino","En mi casa","Juego juegos;Miro videos en YouTube;Hago la tarea","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","En la nube","Yo y otras personas.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","No sé","Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.","Una red de antenas y satélites","Sin la nube sería imposible escuchar música en el celular;Podemos utilizar la nube sin conexión a Internet;Sin la nube sería imposible sacar fotos con el celular","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 8:35:09 AM GMT-3","Colegio Modelo Mármol","Sexto","C","11","Femenino","En la escuela","Juego juegos","Me enseñaron en la escuela","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro videos en YouTube;Juego juegos","En la nube","Solo yo.","Le doy permiso para ver la foto que tengo guardada en mi celular.","Tengo que borrar la foto en el chat.","No sé","No sé.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular","Internet y la nube no tienen funciones en común.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/24 8:36:15 AM GMT-3","Colegio Modelo Mármol","Sexto","C","12","Masculino","En mi casa","Miro videos en YouTube","Aprendí solo","El mío","Miro videos en YouTube","En la nube","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda a través de la nube.","No sé.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 8:36:24 AM GMT-3","Colegio Modelo Mármol","Sexto","C","12","Femenino","En la escuela","Juego juegos;Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Me enseñaron en la escuela","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram)","No sé","Solo yo.","Le doy permiso para ver la foto que tengo guardada en mi celular.","Tengo que borrar la foto en el chat.","El mensaje se manda directamente.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","No sé","","","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 8:37:04 AM GMT-3","Colegio Modelo Mármol","Sexto","C","12","Femenino","En la escuela","Hago la tarea","Me enseñaron en la escuela","El mío","Miro redes sociales (por ejemplo Facebook, TikTok o Instagram)","En la nube","Yo y otras personas.","No sé","Tengo que borrar la foto en el chat.","No sé","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular","Con Internet podemos hacer más cosas que con la nube.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 8:37:17 AM GMT-3","Colegio Modelo Mármol","Sexto","C","11","Masculino","En mi casa","Juego juegos","Aprendí solo","El mío","Juego juegos","En la nube","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","No sé","Los mensajes recibidos están verificados por un filtro inteligente. El link es seguro.","Una red de antenas y satélites","Sin la nube sería imposible escuchar música en el celular;La nube me permite guardar las fotos y videos del celular;Google Maps descarga sus mapas de la nube","No sé.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 8:37:59 AM GMT-3","Colegio Modelo Mármol","Sexto","C","11","Masculino","En mi casa","Juego juegos;Miro videos en YouTube","Me enseñaron en la escuela","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Juego juegos","En la nube","No sé","No sé","Tengo que borrar la foto en el chat.","El mensaje se manda a través de un satélite.","Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.","No sé","","","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 8:38:45 AM GMT-3","Colegio Modelo Mármol","Sexto","C","11","Femenino","En mi casa","Juego juegos;Miro videos en YouTube","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Juego juegos","En la nube","Yo y otras personas.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","No sé","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","Se puede usar la nube para jugar juegos sin instalarlos;La nube me permite guardar las fotos y videos del celular","No sé.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 8:38:54 AM GMT-3","Colegio Modelo Mármol","Sexto","C","11","Masculino","En mi casa","Juego juegos;Miro videos en YouTube;Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Aprendí solo","No uso celular","Nunca uso el celular","No sé","No sé","No sé","Tengo que borrar la foto en el chat.","No sé","No sé.","No sé","","","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 8:39:01 AM GMT-3","Colegio Modelo Mármol","Sexto","C","12","Femenino","En mi casa","Juego juegos","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Juego juegos","En mi celular","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","El mensaje se manda directamente.","Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.","Una parte del celular","La nube me permite guardar las fotos y videos del celular","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 8:39:18 AM GMT-3","Colegio Modelo Mármol","Sexto","C","12","Masculino","En mi casa","Miro videos en YouTube","Aprendí solo","El mío","Miro videos en YouTube","No sé","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","No sé","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","No sé","","","Sí","No hay forma de saber si la información del artículo es verdadera o falsa."
"2022/11/24 8:39:27 AM GMT-3","Colegio Modelo Mármol","Sexto","C","11","Masculino","En mi casa","Juego juegos","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro videos en YouTube;Juego juegos","No sé","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda directamente.","Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.","No sé","","","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/24 8:39:29 AM GMT-3","Colegio Modelo Mármol","Sexto","C","12","Masculino","En la escuela","Miro videos en YouTube;Hago la tarea;Leo artículos en Wikipedia","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Me enseñaron en la escuela","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro videos en YouTube;Hablo por teléfono;Juego juegos;Investigo en Wikipedia","En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Solo yo.","No sé","No sé","El mensaje se manda a través de una red de antenas y computadoras.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular;Sin la nube sería imposible sacar fotos con el celular","Con Internet podemos hacer más cosas que con la nube.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 8:39:52 AM GMT-3","Colegio Modelo Mármol","Sexto","C","11","Femenino","En la escuela","Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Juego juegos","No sé","Solo yo.","Le mando una copia de mi foto.","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","El mensaje se manda a través de un satélite.","Los mensajes recibidos están verificados por un filtro inteligente. El link es seguro.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular;Instagram y TikTok usan la nube para compartir sus videos","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/24 8:40:32 AM GMT-3","Colegio Modelo Mármol","Sexto","C","12","Femenino","En mi casa","Miro videos en YouTube;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Juego juegos","En la nube","Solo yo.","Le mando una copia de mi foto.","Tengo que borrar la foto en el chat.","El mensaje se manda directamente.","Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.","Una red de antenas y satélites","Sin la nube sería imposible escuchar música en el celular;Se puede usar la nube para jugar juegos sin instalarlos;La nube me permite guardar las fotos y videos del celular;Sin la nube sería imposible sacar fotos con el celular","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","No hay forma de saber si la información del artículo es verdadera o falsa."
"2022/11/24 8:42:00 AM GMT-3","Colegio Modelo Mármol","Sexto","C","12","Masculino","En mi casa","Miro videos en YouTube","Me enseñaron en la escuela","El mío","Juego juegos","En la nube","Solo yo.","Le mando una copia de mi foto.","Tengo que borrar la foto en el chat.","El mensaje se manda a través de un satélite.","No sé.","Una nube","Se puede usar la nube para jugar juegos sin instalarlos;Instagram y TikTok usan la nube para compartir sus videos;Google Maps descarga sus mapas de la nube","Podemos hacer exactamente lo mismo con Internet que con la nube.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/24 8:42:20 AM GMT-3","Colegio Modelo Mármol","Sexto","C","12","Femenino","En la escuela","Hago la tarea","Me enseñaron en la escuela","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","En la nube","Solo yo.","Le mando una copia de mi foto.","Tengo que borrar la foto en el chat.","El mensaje se manda directamente.","Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.","Una parte del celular","Sin la nube sería imposible escuchar música en el celular;Se puede usar la nube para jugar juegos sin instalarlos;La nube me permite guardar las fotos y videos del celular;Sin la nube no sería posible hacer llamadas por celular;Instagram y TikTok usan la nube para compartir sus videos;Sin la nube sería imposible sacar fotos con el celular","No sé.","No",""
"2022/11/24 8:43:07 AM GMT-3","Colegio Modelo Mármol","Sexto","C","11","Masculino","En mi casa","Miro videos en YouTube","Aprendí solo","No uso celular","Hablo por teléfono","No sé","Yo y otras personas.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","No sé","Los mensajes recibidos están verificados por un filtro inteligente. El link es seguro.","No sé","","","Sí","Toda la información en el artículo es verdadera porque está verificada."
